template,field_id,metric_id,adapter,implementation,outcome,evidence,blocker,note,within_template_observations,within_template_present_pass,within_template_present,within_template_entities
interstate_gas,profile_flow_statement_narrative,profile_flow_statement_narrative,gas_xbrl,implemented,source_exists_interpretation_blocked,0 validated + 2 flagged values across 40 entities,,role=profile; regimes=XBRL textblock,78,0,2,31
interstate_gas,profile_miles_narrative,profile_miles_narrative,gas_xbrl,implemented,source_exists_interpretation_blocked,0 validated + 2 flagged values across 40 entities,,role=profile; regimes=XBRL textblock,78,0,2,31
interstate_gas,profile_stations_narrative,profile_stations_narrative,gas_xbrl,implemented,source_exists_interpretation_blocked,0 validated + 2 flagged values across 40 entities,,role=profile; regimes=XBRL textblock,78,0,2,31
interstate_gas,rate_case_status,rate_case_status,elibrary_docs,implemented,implemented_retrieved_validated,18 validated + 0 flagged values across 97 entities,,role=headline; regimes=eLibrary document,35,11,11,32
interstate_gas,rate_effective_date,rate_effective_date,elibrary_docs,implemented,implemented_retrieved_validated,16 validated + 0 flagged values across 97 entities,,role=detail; regimes=eLibrary document,34,10,10,32
interstate_gas,refund_exposure_window,refund_exposure_window,elibrary_docs,implemented,implemented_retrieved_validated,3 validated + 0 flagged values across 69 entities,,role=conditional; regimes=eLibrary document,33,2,2,32
interstate_gas,single_day_peak_date,single_day_peak_date,gas_xbrl,implemented,implemented_retrieved_validated,61 validated + 1 flagged values across 40 entities,,role=detail; regimes=Form 2,78,59,60,31
interstate_gas,single_day_peak_deliveries,single_day_peak_deliveries,gas_xbrl,implemented,implemented_retrieved_validated,68 validated + 0 flagged values across 40 entities,,role=headline; regimes=Form 2,78,66,66,31
interstate_gas,storage_capacity,storage_capacity,gas_xbrl,implemented,implemented_retrieved_validated,9 validated + 25 flagged values across 40 entities,,role=headline; regimes=Form 2,78,9,32,31
interstate_gas,storage_injections,storage_injections,gas_xbrl,implemented,implemented_retrieved_validated,34 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A,78,32,32,31
interstate_gas,storage_injections_others,storage_injections_others,gas_xbrl,implemented,implemented_retrieved_validated,32 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A,78,30,30,31
